global_iso_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gp,gpp,nu-err,sw-err,nu-ref,sw-ref
   36, 7,1, 7784.981966, 7.750E-28, 5.757E-05, 1246.4487,   57,   57,   57,5,5,1483,1484
   36, 7,1, 7785.407866, 1.875E-31, 1.217E-04, 3146.7193,   67,   67,   67,4,5,1179, 855
   36, 7,1, 7785.458775, 6.409E-31, 4.751E-08, 1245.9719,   57,   57,   61,5,4,1483,1484
   37, 7,2, 7785.621098, 1.655E-29, 2.490E-05,  463.8327,   33,   33,   35,5,6,1179, 855
   36, 7,1, 7785.654823, 4.080E-30, 1.364E-05, 1598.1157,    7,    7,    9,4,6,1179, 855
   37, 7,2, 7786.268637, 1.301E-30, 5.272E-05, 1260.8794,   59,   59,   61,5,5,1179, 855
   38, 7,3, 7786.842855, 2.916E-31, 5.055E-05, 1212.2838,  342,  342,  354,5,5,1179, 851
   36, 7,1, 7787.129884, 5.131E-32, 3.303E-05, 3144.9973,   67,   67,   65,4,5,1179, 855
   37, 7,2, 7788.025121, 1.438E-30, 5.780E-05, 1259.1230,   59,   59,   59,5,5,1179, 855
   36, 7,1, 7788.234015, 4.303E-31, 1.218E-04, 2963.2069,   63,   63,   63,4,5,1179, 855
   38, 7,3, 7788.420488, 3.390E-30, 2.371E-05,  426.4768,  186,  186,  198,5,6,1179, 851
   38, 7,3, 7788.601893, 3.232E-31, 5.557E-05, 1210.5248,  342,  342,  342,5,5,1179, 851
   36, 7,1, 7788.696109, 1.848E-29, 4.023E-05, 1637.0878,   13,   13,   15,4,6,1179, 855
   36, 7,1, 7789.973318, 1.184E-31, 3.325E-05, 2961.4676,   63,   63,   61,4,5,1179, 855
   37, 7,2, 7790.047944, 1.858E-30, 5.262E-05, 1179.8744,   57,   57,   59,5,5,1179, 855
   36, 7,1, 7790.487119, 9.995E-32, 2.800E-05, 2960.9538,   63,   63,   65,4,5,1179, 855
   36, 7,1, 7790.672995, 2.778E-29, 5.993E-05, 1635.1109,   13,   13,   13,4,6,1179, 855
   38, 7,3, 7790.688615, 4.149E-31, 5.045E-05, 1131.7993,  330,  330,  342,5,5,1179, 851
   36, 7,1, 7790.877461, 9.315E-31, 1.219E-04, 2790.8388,   59,   59,   59,4,5,1179, 855
   36, 7,1, 7791.115192, 1.360E-32, 4.970E-10, 1085.2033,   53,   53,   55,5,5,1483,1484
   36, 7,1, 7791.115192, 1.406E-27, 5.138E-05, 1085.2033,   53,   53,   55,5,5,1483,1484
   37, 7,2, 7791.634202, 1.953E-29, 2.471E-05,  415.0418,   31,   31,   33,5,6,1179, 855
   37, 7,2, 7791.812617, 2.061E-30, 5.789E-05, 1178.1097,   57,   57,   57,5,5,1179, 855
   38, 7,3, 7792.456111, 4.615E-31, 5.567E-05, 1130.0318,  330,  330,  330,5,5,1179, 851
   36, 7,1, 7792.634146, 2.578E-31, 3.346E-05, 2789.0821,   59,   59,   57,4,5,1179, 855
   36, 7,1, 7792.885315, 1.019E-29, 3.694E-07, 1083.4332,   53,   53,   53,5,4,1483,1484
   36, 7,1, 7792.885315, 1.589E-27, 5.760E-05, 1083.4332,   53,   53,   53,5,5,1483,1484
   36, 7,1, 7793.112752, 2.151E-31, 2.786E-05, 2788.6035,   59,   59,   61,4,5,1179, 855
   36, 7,1, 7793.326791, 1.305E-30, 4.721E-08, 1082.9917,   53,   53,   57,5,4,1483,1484
   36, 7,1, 7793.339903, 1.901E-30, 1.220E-04, 2629.6432,   55,   55,   55,4,5,1179, 855
   37, 7,2, 7793.790504, 2.617E-30, 5.253E-05, 1101.5400,   55,   55,   57,5,5,1179, 855
   38, 7,3, 7794.496676, 5.816E-31, 5.035E-05, 1054.0610,  318,  318,  330,5,5,1179, 851
   38, 7,3, 7794.563682, 3.951E-30, 2.350E-05,  379.1158,  174,  174,  186,5,6,1179, 851
   36, 7,1, 7794.844882, 1.240E-29, 3.263E-05, 1600.1301,    9,    9,   11,4,6,1179, 855
   36, 7,1, 7795.114086, 5.297E-31, 3.371E-05, 2627.8690,   55,   55,   53,4,5,1179, 855
   36, 7,1, 7795.538928, 1.504E-31, 2.970E-10,  345.8495,   27,   27,   31,5,4,1483,1484
   36, 7,1, 7795.557319, 4.361E-31, 2.770E-05, 2627.4258,   55,   55,   57,4,5,1179, 855
   37, 7,2, 7795.563393, 2.913E-30, 5.800E-05, 1099.7671,   55,   55,   55,5,5,1179, 855
   36, 7,1, 7795.622920, 3.654E-30, 1.220E-04, 2479.6468,   51,   51,   51,4,6,1179, 855
   38, 7,3, 7796.272662, 6.493E-31, 5.575E-05, 1052.2850,  318,  318,  318,5,5,1179, 851
   36, 7,1, 7796.715632, 3.196E-29, 4.674E-08,  188.8531,   17,   17,   21,5,4,1483,1484
   36, 7,1, 7796.859306, 2.206E-29, 5.752E-05, 1598.1157,    9,    9,    9,4,6,1179, 855
   36, 7,1, 7797.414743, 1.026E-30, 3.398E-05, 2477.8549,   51,   51,   49,4,6,1179, 855
   36, 7,1, 7797.419009, 1.206E-26, 2.361E-05,  343.9694,   27,   27,   29,5,6,1483,1484
   36, 7,1, 7797.419009, 1.755E-28, 3.435E-07,  343.9694,   27,   27,   29,5,4,1483,1484
   37, 7,2, 7797.496377, 3.631E-30, 5.241E-05, 1025.8792,   53,   53,   55,5,5,1179, 855
   37, 7,2, 7797.612735, 2.263E-29, 2.450E-05,  368.9507,   29,   29,   31,5,6,1179, 855
   36, 7,1, 7797.727973, 6.608E-30, 1.220E-04, 2340.8740,   47,   47,   47,4,6,1179, 855
   36, 7,1, 7797.822379, 8.320E-31, 2.750E-05, 2477.4473,   51,   51,   53,4,6,1179, 855
   38, 7,3, 7798.267094, 8.031E-31, 5.023E-05,  979.0720,  306,  306,  318,5,6,1179, 851
   36, 7,1, 7798.845914, 2.652E-32, 5.025E-10,  933.5309,   49,   49,   51,5,6,1483,1484
   36, 7,1, 7798.845914, 2.691E-27, 5.099E-05,  933.5309,   49,   49,   51,5,6,1483,1484
   37, 7,2, 7799.277510, 4.057E-30, 5.808E-05, 1024.0981,   53,   53,   53,5,5,1179, 855
   36, 7,1, 7799.537613, 1.874E-30, 3.432E-05, 2339.0644,   47,   47,   45,4,6,1179, 855
   36, 7,1, 7799.656407, 1.123E-29, 1.220E-04, 2213.3478,   43,   43,   43,4,6,1179, 855
   36, 7,1, 7799.909367, 1.492E-30, 2.728E-05, 2338.6926,   47,   47,   49,4,6,1179, 855
   38, 7,3, 7800.051602, 9.001E-31, 5.584E-05,  977.2875,  306,  306,  306,5,6,1179, 851
   36, 7,1, 7800.633677, 1.965E-29, 3.693E-07,  931.7432,   49,   49,   49,5,4,1483,1484
   36, 7,1, 7800.633677, 3.067E-27, 5.764E-05,  931.7432,   49,   49,   49,5,6,1483,1484
   38, 7,3, 7800.671313, 4.514E-30, 2.326E-05,  334.5305,  162,  162,  174,5,6,1179, 851
   36, 7,1, 7800.826557, 3.903E-30, 1.635E-05, 1574.5401,    5,    5,    7,4,6,1179, 855
   36, 7,1, 7801.039590, 2.500E-30, 4.689E-08,  931.3373,   49,   49,   53,5,4,1483,1484
